variable,kind,value
fold_growth,Trace,0.0075345659265754735
division_ratio,Trace,0.03182185598850828
added_length,Trace,0.016333191450019137
generationtime,Trace,0.016487583819991984
length_birth,Trace,0.0886952653768133
length_final,Trace,0.07594729799486183
growth_rate,Trace,0.03444281159052351
fold_growth,Artificial,0.005500811037754099
division_ratio,Artificial,0.004471509817714922
added_length,Artificial,0.0051306631452897175
generationtime,Artificial,0.005625488446071566
length_birth,Artificial,0.004697011396800136
length_final,Artificial,0.00452322011687401
growth_rate,Artificial,0.0038015747319785336
