variable,kind,value
fold_growth,Trace,0.02050537623750623
division_ratio,Trace,0.07242451279256001
added_length,Trace,0.06138679521475548
generationtime,Trace,0.13662980449980672
length_birth,Trace,0.15001095476451515
length_final,Trace,0.15734058323337083
growth_rate,Trace,0.17024979733181506
size_fraction,Trace,0.0017280113894331379
fold_growth,Artificial,0.011666065475243674
division_ratio,Artificial,0.01597197853054245
added_length,Artificial,0.012901989119000435
generationtime,Artificial,0.01501794364008088
length_birth,Artificial,0.0119249826843056
length_final,Artificial,0.014939614822334558
growth_rate,Artificial,0.01066002527832382
size_fraction,Artificial,0.017394399270177736
