timeA	lengthA	cellareaA	meanfluorescenceA	fluorescenceA
0	3.983710561	2.53125	8086.123457	20468
0.05	3.668584287	2.4375	7747.282051	18884
0.1	4.463567812	2.875	7724.521739	22208
0.15	4.259498284	2.671875	7611.134503	20336
0.2	3.756066987	1.5	8077.333333	12116
0.25	4.522385505	2.9375	7526.12766	22108
0.3	4.716355026	2.875	7421.217391	21336
0.35	3.990591774	1.5	7362.666667	11044
0.4	3.553342851	1.84375	7538.983051	13900
0.45	4.474458952	2.84375	7229.89011	20560
0.5	4.819998395	2.984375	7440.08377	22204
0.55	5.163437822	3.46875	7322.522523	25400
0.6	5.526222517	3.375	7581.62963	25588
0.65	5.241414504	2.96875	7758.147368	23032
0.7	5.759653071	3.515625	7430.826667	26124
0.75	5.909834159	3.5625	7467.789474	26604
0.8	2.899817002	1.609375	7620.349515	12264
0.85	2.95581528	1.03125	7808	8052
0.9	3.227551453	1.703125	7642.422018	13016
0.95	3.332801112	1.734375	7739.963964	13424
1	3.392429064	1.90625	7845.770492	14956
1.05	3.695635919	2.3125	7616	17612
1.1	3.77487368	2.125	7723.294118	16412
1.15	3.44354268	1.859375	7963.966387	14808
1.2	3.516854205	1.734375	8166.630631	14164
1.25	3.716911847	2.109375	7873.422222	16608
1.3	3.931386451	2.640625	8161.704142	21552
1.35	3.75445506	2.453125	8115.363057	19908
1.4	4.457599843	3.265625	8203.023923	26788
1.45	4.687496241	3.0625	8491.102041	26004
1.5	5.079183767	3.3125	8481.811321	28096
1.55	5.052085016	3.53125	8666.619469	30604
1.6	5.206844196	3.890625	8568.289157	33336
1.65	5.470962973	3.8125	8382.95082	31960
1.7	5.63295015	3.828125	8807.444898	33716
1.75	5.810879501	3.5	8571.428571	30000
1.8	5.704618584	4.578125	8482.948805	38836
1.85	6.061885933	4.328125	8610.65704	37268
1.9	6.046263853	4.046875	8636.787645	34952
1.95	2.961878983	1.765625	8577.132743	15144
2	3.314335994	2.328125	8131.865772	18932
2.05	3.244707989	2.03125	8132.923077	16520
2.1	3.386759802	1.84375	8105.220339	14944
2.15	3.567972483	2.46875	7929.518987	19576
2.2	3.436767482	2.1875	7961.6	17416
2.25	3.47097565	2.09375	8121.313433	17004
2.3	3.405561294	1.984375	7853.354331	15584
2.35	3.669103536	2.21875	7899.943662	17528
2.4	3.791061116	2.203125	7821.617021	17232
2.45	4.073191522	2.765625	7866.576271	21756
2.5	3.769674147	2.078125	8145.804511	16928
2.55	3.981852892	2.609375	7787.305389	20320
2.6	4.293208652	2.953125	8045.714286	23760
2.65	4.546124227	1.453125	8296.602151	12056
2.7	4.409525597	3.0625	8129.306122	24896
2.75	4.38729332	3.03125	7933.360825	24048
2.8	4.688827167	3.296875	8264.796209	27248
2.85	4.530052983	3.609375	7791.930736	28124
